sample,x_input,y_output
       1158, -9350, -8055
       1159,-10109, -9013
       1160,-10834, -9486
       1161,-11524,-10419
       1162,-12175,-10879
       1163,-12786,-11334
       1164,-13354,-11784
       1165,-13878,-12669
       1166,-14356,-13103
       1167,-14787,-13532
       1168,-15169,-13532
       1169,-15500,-13956
       1170,-15779,-14374
       1171,-16007,-14374
       1172,-16181,-14786
       1173,-16302,-14786
       1174,-16369,-14786
       1175,-16381,-14786
       1176,-16339,-14786
       1177,-16243,-14786
       1178,-16093,-14786
       1179,-15889,-14786
       1180,-15633,-14786
       1181,-15325,-14374
       1182,-14967,-13956
       1183,-14558,-13956
       1184,-14101,-13532
       1185,-13598,-13103
       1186,-13049,-12669
       1187,-12458,-12229
       1188,-11824,-11784
       1189,-11152,-11334
       1190,-10443,-10419
       1191, -9699, -9955
       1192, -8923, -9013
       1193, -8117, -8536
       1194, -7284, -7570
       1195, -6427, -7082
       1196, -5549, -6096
       1197, -4653, -5098
       1198, -3741, -4595
       1199, -2816, -3583
       1200, -1883, -2564
       1201,  -943, -1540
       1202,     0,  -513
       1203,   943,     0
       1204,  1883,   513
       1205,  2816,  1540
       1206,  3741,  2564
       1207,  4653,  3583
       1208,  5549,  4595
       1209,  6427,  5098
       1210,  7284,  6096
       1211,  8117,  7082
       1212,  8923,  7570
       1213,  9699,  8536
       1214, 10443,  9013
       1215, 11152,  9955
       1216, 11824, 10419
       1217, 12458, 11334
       1218, 13049, 11784
       1219, 13598, 12229
       1220, 14101, 12669
       1221, 14558, 13103
       1222, 14967, 13532
       1223, 15325, 13956
       1224, 15633, 13956
       1225, 15889, 14374
       1226, 16093, 14786
       1227, 16243, 14786
       1228, 16339, 14786
       1229, 16381, 14786
       1230, 16369, 14786
       1231, 16302, 14786
       1232, 16181, 14786
       1233, 16007, 14786
       1234, 15779, 14786
       1235, 15500, 14374
       1236, 15169, 14374
       1237, 14787, 13956
       1238, 14356, 13532
       1239, 13878, 13532
       1240, 13354, 13103
       1241, 12786, 12669
       1242, 12175, 11784
       1243, 11524, 11334
       1244, 10834, 10879
       1245, 10109, 10419
       1246,  9350,  9486
       1247,  8560,  9013
       1248,  7742,  8055
       1249,  6898,  7570
       1250,  6031,  6590
       1251,  5144,  5598
